split,variant,alpha_seed,gamma,knn,prop_alpha,macro_f1,per_class_f1,counts
ratio_prefix,raw,5.0,0.7,20,0.5,0.7478828543014747,"{'0': 0.8595865193996035, '1': 0.8466707391569945, '2': 0.5373913043478261}","{'0': 8853, '1': 2823, '2': 1907}"
ratio_prefix,quota,5.0,0.7,20,0.5,0.7329083318482171,"{'0': 0.8591229266075892, '1': 0.810823754789272, '2': 0.5287783141477905}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,5.0,0.7,20,0.75,0.7515971108525243,"{'0': 0.8603713588098347, '1': 0.8464983713355049, '2': 0.5479216024122334}","{'0': 8809, '1': 2824, '2': 1950}"
ratio_prefix,quota,5.0,0.7,20,0.75,0.7350097542398414,"{'0': 0.8605998636673483, '1': 0.810823754789272, '2': 0.5336056442629038}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,5.0,0.7,20,0.9,0.756956447860523,"{'0': 0.8608834244080146, '1': 0.8496117695136902, '2': 0.560374149659864}","{'0': 8766, '1': 2806, '2': 2011}"
ratio_prefix,quota,5.0,0.7,20,0.9,0.729838003297346,"{'0': 0.8612815269256987, '1': 0.7883141762452107, '2': 0.5399183067211288}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,5.0,0.7,50,0.5,0.7462429497877968,"{'0': 0.8591318127794442, '1': 0.8466707391569945, '2': 0.5329262974269516}","{'0': 8867, '1': 2823, '2': 1893}"
ratio_prefix,quota,5.0,0.7,50,0.5,0.7325770141946314,"{'0': 0.8584412633492388, '1': 0.8127394636015326, '2': 0.5265503156331229}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,5.0,0.7,50,0.75,0.7511478953569072,"{'0': 0.8604004764876056, '1': 0.8477064220183487, '2': 0.5453367875647669}","{'0': 8827, '1': 2817, '2': 1939}"
ratio_prefix,quota,5.0,0.7,50,0.75,0.7340579162594825,"{'0': 0.8609406952965235, '1': 0.8065134099616859, '2': 0.5347196435202377}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,5.0,0.7,50,0.9,0.7541592355366372,"{'0': 0.8606687898089171, '1': 0.8487446417636252, '2': 0.5530642750373692}","{'0': 8782, '1': 2811, '2': 1990}"
ratio_prefix,quota,5.0,0.7,50,0.9,0.7286482636779733,"{'0': 0.8610543058395819, '1': 0.7883141762452107, '2': 0.5365763089491273}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,5.0,0.7,120,0.5,0.7431864016865872,"{'0': 0.8587915818058385, '1': 0.8439212502537041, '2': 0.5268463730002192}","{'0': 8874, '1': 2839, '2': 1870}"
ratio_prefix,quota,5.0,0.7,120,0.5,0.7319304226895164,"{'0': 0.8579868211770052, '1': 0.8127394636015326, '2': 0.5250649832900112}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,5.0,0.7,120,0.75,0.7504845039340609,"{'0': 0.8601053884072752, '1': 0.8485714285714285, '2': 0.5427766948234785}","{'0': 8847, '1': 2812, '2': 1924}"
ratio_prefix,quota,5.0,0.7,120,0.75,0.7324334155956662,"{'0': 0.859350147693706, '1': 0.8084291187739464, '2': 0.5295209803193465}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,5.0,0.7,120,0.9,0.7509852136313361,"{'0': 0.8596232410349524, '1': 0.8490912803757402, '2': 0.5442411194833154}","{'0': 8822, '1': 2809, '2': 1952}"
ratio_prefix,quota,5.0,0.7,120,0.9,0.7337265986058966,"{'0': 0.8602590320381731, '1': 0.8084291187739464, '2': 0.53249164500557}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,5.0,1.2,20,0.5,0.7480920337241233,"{'0': 0.8598310944850649, '1': 0.8454656364375762, '2': 0.5389793702497285}","{'0': 8841, '1': 2830, '2': 1912}"
ratio_prefix,quota,5.0,1.2,20,0.5,0.7340398669821687,"{'0': 0.8599182004089979, '1': 0.810823754789272, '2': 0.5313776457482362}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,5.0,1.2,20,0.75,0.7533803154227018,"{'0': 0.8609911343487157, '1': 0.8466707391569945, '2': 0.5524790727623954}","{'0': 8794, '1': 2823, '2': 1966}"
ratio_prefix,quota,5.0,1.2,20,0.75,0.7356563457449564,"{'0': 0.8610543058395819, '1': 0.810823754789272, '2': 0.5350909766060156}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,5.0,1.2,20,0.9,0.758096083593502,"{'0': 0.8612140210886292, '1': 0.8492647058823529, '2': 0.5638095238095238}","{'0': 8743, '1': 2808, '2': 2032}"
ratio_prefix,quota,5.0,1.2,20,0.9,0.7360383593836314,"{'0': 0.8609406952965235, '1': 0.8065134099616859, '2': 0.5406609728926848}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,5.0,1.2,50,0.5,0.7464498823832743,"{'0': 0.8593104229179641, '1': 0.8461538461538461, '2': 0.5338853780780126}","{'0': 8861, '1': 2826, '2': 1896}"
ratio_prefix,quota,5.0,1.2,50,0.5,0.734524810611005,"{'0': 0.8602590320381731, '1': 0.810823754789272, '2': 0.53249164500557}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,5.0,1.2,50,0.75,0.752358807557802,"{'0': 0.8607925513795844, '1': 0.8471882640586798, '2': 0.5490956072351422}","{'0': 8812, '1': 2820, '2': 1951}"
ratio_prefix,quota,5.0,1.2,50,0.75,0.7356563457449564,"{'0': 0.8610543058395819, '1': 0.810823754789272, '2': 0.5350909766060156}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,5.0,1.2,50,0.9,0.757312797215041,"{'0': 0.860821511992252, '1': 0.849438202247191, '2': 0.5616786774056803}","{'0': 8751, '1': 2807, '2': 2025}"
ratio_prefix,quota,5.0,1.2,50,0.9,0.730133596021085,"{'0': 0.8610543058395819, '1': 0.7883141762452107, '2': 0.5410323059784626}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,raw,5.0,1.2,120,0.5,0.7431864016865872,"{'0': 0.8587915818058385, '1': 0.8439212502537041, '2': 0.5268463730002192}","{'0': 8874, '1': 2839, '2': 1870}"
