split,variant,n_bins,degree,alpha,trend_weight,front_weight,macro_f1,per_class_f1,counts
small_prefix,raw,4,1,15.0,0.25,0.75,0.7787193704857928,"{'0': 0.8121337469837987, '1': 0.9180627474870545, '2': 0.6059616169865251}","{'0': 2957, '1': 1762, '2': 1048}"
small_prefix,quota,4,1,15.0,0.25,0.75,0.755525387654913,"{'0': 0.7964850615114235, '1': 0.903353057199211, '2': 0.5667380442541042}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,4,1,15.0,0.5,0.5,0.7778158236639507,"{'0': 0.810904071773637, '1': 0.9180627474870545, '2': 0.604480651731161}","{'0': 2951, '1': 1762, '2': 1054}"
small_prefix,quota,4,1,15.0,0.5,0.5,0.7599036311641312,"{'0': 0.8010544815465729, '1': 0.903353057199211, '2': 0.5753033547466095}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,4,1,15.0,0.75,0.25,0.7746590789992863,"{'0': 0.8110425240054869, '1': 0.9169960474308301, '2': 0.5959386655615416}","{'0': 2987, '1': 1768, '2': 1012}"
small_prefix,quota,4,1,15.0,0.75,0.25,0.7535647304442977,"{'0': 0.7954305799648507, '1': 0.9013806706114399, '2': 0.5638829407566024}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,4,1,15.0,1.0,0.0,0.7508521363437333,"{'0': 0.7942925089179548, '1': 0.9148226735374356, '2': 0.5434412265758092}","{'0': 3042, '1': 1778, '2': 947}"
small_prefix,quota,4,1,15.0,1.0,0.0,0.738948338541495,"{'0': 0.7873462214411248, '1': 0.8856015779092702, '2': 0.5438972162740899}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,4,2,0.5,0.0,1.0,0.7739507962692933,"{'0': 0.8149273893954745, '1': 0.9211009174311927, '2': 0.5858240819812126}","{'0': 3077, '1': 1749, '2': 941}"
small_prefix,quota,4,2,0.5,0.0,1.0,0.7583321605234534,"{'0': 0.7985940246045694, '1': 0.9046679815910585, '2': 0.5717344753747323}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,4,2,0.5,0.25,0.75,0.7507823991536422,"{'0': 0.7945254177035194, '1': 0.880187025131502, '2': 0.5776347546259051}","{'0': 2781, '1': 1901, '2': 1085}"
small_prefix,quota,4,2,0.5,0.25,0.75,0.735057564311394,"{'0': 0.8, '1': 0.8612754766600921, '2': 0.5438972162740899}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,4,2,0.5,0.5,0.5,0.7120759414017059,"{'0': 0.7806440135207259, '1': 0.836815358554489, '2': 0.518768452129903}","{'0': 2776, '1': 2021, '2': 970}"
small_prefix,quota,4,2,0.5,0.5,0.5,0.7183589635910864,"{'0': 0.7876977152899824, '1': 0.8441814595660749, '2': 0.523197715917202}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,4,2,0.5,0.75,0.25,0.6048788768513031,"{'0': 0.7130275229357799, '1': 0.7345646437994723, '2': 0.36704446381865735}","{'0': 2605, '1': 2269, '2': 893}"
small_prefix,quota,4,2,0.5,0.75,0.25,0.6726918815582574,"{'0': 0.735676625659051, '1': 0.7863247863247863, '2': 0.49607423269093504}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,4,2,0.5,1.0,0.0,0.32674910444388877,"{'0': 0.5658018130665833, '1': 0.10848585690515807, '2': 0.3059596433599249}","{'0': 3553, '1': 1484, '2': 730}"
small_prefix,quota,4,2,0.5,1.0,0.0,0.278086947872517,"{'0': 0.4344463971880492, '1': 0.1071663379355687, '2': 0.2926481084939329}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,4,2,3.0,0.0,1.0,0.7739507962692933,"{'0': 0.8149273893954745, '1': 0.9211009174311927, '2': 0.5858240819812126}","{'0': 3077, '1': 1749, '2': 941}"
small_prefix,quota,4,2,3.0,0.0,1.0,0.7627104040326717,"{'0': 0.8031634446397188, '1': 0.9046679815910585, '2': 0.5802997858672377}","{'0': 2845, '1': 1521, '2': 1401}"
small_prefix,raw,4,2,3.0,0.25,0.75,0.7507823991536422,"{'0': 0.7945254177035194, '1': 0.880187025131502, '2': 0.5776347546259051}","{'0': 2781, '1': 1901, '2': 1085}"
