split,source_mode,config,alpha,variant,macro_f1,per_class_f1,counts
actual_prefix,front05,single_pair,5.0,raw,0.3376677549425899,"{'0': 0.8057123427405645, '1': 0.20729092208720515, '2': 0.0}","{'0': 17556, '1': 298, '2': 0}"
actual_prefix,front05,single_pair,5.0,quota,0.6560206062651145,"{'0': 0.7968618187953433, '1': 0.6932, '2': 0.478}","{'0': 11854, '1': 2500, '2': 3500}"
middle_ratio,all,single,0.5,raw,0.2621398257761894,"{'0': 0.7864194773285682, '1': 0.0, '2': 0.0}","{'0': 13583, '1': 0, '2': 0}"
middle_ratio,all,single,0.5,quota,0.6511042578337195,"{'0': 0.7788002726653034, '1': 0.7073754789272031, '2': 0.4671370219086521}","{'0': 8802, '1': 2088, '2': 2693}"
middle_ratio,all,single,5.0,raw,0.2621398257761894,"{'0': 0.7864194773285682, '1': 0.0, '2': 0.0}","{'0': 13583, '1': 0, '2': 0}"
middle_ratio,all,single,5.0,quota,0.6511042578337195,"{'0': 0.7788002726653034, '1': 0.7073754789272031, '2': 0.4671370219086521}","{'0': 8802, '1': 2088, '2': 2693}"
middle_ratio,all,pair,0.5,raw,0.2825894000784573,"{'0': 0.7885089409761126, '1': 0.05925925925925926, '2': 0.0}","{'0': 13511, '1': 72, '2': 0}"
middle_ratio,all,pair,0.5,quota,0.6378621483533883,"{'0': 0.7791411042944786, '1': 0.6513409961685823, '2': 0.4831043445971036}","{'0': 8802, '1': 2088, '2': 2693}"
middle_ratio,all,pair,5.0,raw,0.2800792241241952,"{'0': 0.7881204085289375, '1': 0.05211726384364821, '2': 0.0}","{'0': 13522, '1': 61, '2': 0}"
middle_ratio,all,pair,5.0,quota,0.6378621483533883,"{'0': 0.7791411042944786, '1': 0.6513409961685823, '2': 0.4831043445971036}","{'0': 8802, '1': 2088, '2': 2693}"
middle_ratio,all,single_pair,0.5,raw,0.40102020333586347,"{'0': 0.8057745187901009, '1': 0.39728609121748965, '2': 0.0}","{'0': 13018, '1': 565, '2': 0}"
middle_ratio,all,single_pair,0.5,quota,0.6423504187081744,"{'0': 0.7822085889570553, '1': 0.6513409961685823, '2': 0.493501670998886}","{'0': 8802, '1': 2088, '2': 2693}"
middle_ratio,all,single_pair,5.0,raw,0.40102020333586347,"{'0': 0.8057745187901009, '1': 0.39728609121748965, '2': 0.0}","{'0': 13018, '1': 565, '2': 0}"
middle_ratio,all,single_pair,5.0,quota,0.6423504187081744,"{'0': 0.7822085889570553, '1': 0.6513409961685823, '2': 0.493501670998886}","{'0': 8802, '1': 2088, '2': 2693}"
middle_ratio,front025,single,0.5,raw,0.2621398257761894,"{'0': 0.7864194773285682, '1': 0.0, '2': 0.0}","{'0': 13583, '1': 0, '2': 0}"
middle_ratio,front025,single,0.5,quota,0.6688482138743964,"{'0': 0.8056123608270848, '1': 0.6910919540229885, '2': 0.5098403267731155}","{'0': 8802, '1': 2088, '2': 2693}"
middle_ratio,front025,single,5.0,raw,0.2621398257761894,"{'0': 0.7864194773285682, '1': 0.0, '2': 0.0}","{'0': 13583, '1': 0, '2': 0}"
middle_ratio,front025,single,5.0,quota,0.6688482138743964,"{'0': 0.8056123608270848, '1': 0.6910919540229885, '2': 0.5098403267731155}","{'0': 8802, '1': 2088, '2': 2693}"
middle_ratio,front025,pair,0.5,raw,0.43541407371172164,"{'0': 0.8132284921369103, '1': 0.4908062234794908, '2': 0.002207505518763797}","{'0': 12818, '1': 740, '2': 25}"
middle_ratio,front025,pair,0.5,quota,0.6855796992519041,"{'0': 0.8072029084299023, '1': 0.7289272030651341, '2': 0.5206089862606759}","{'0': 8802, '1': 2088, '2': 2693}"
middle_ratio,front025,pair,5.0,raw,0.42429282223685333,"{'0': 0.810342443655805, '1': 0.46253602305475505, '2': 0.0}","{'0': 12895, '1': 688, '2': 0}"
middle_ratio,front025,pair,5.0,quota,0.6850967610983248,"{'0': 0.8069756873437856, '1': 0.728448275862069, '2': 0.5198663200891199}","{'0': 8802, '1': 2088, '2': 2693}"
middle_ratio,front025,single_pair,0.5,raw,0.49895511269202525,"{'0': 0.8266742231038066, '1': 0.6636001226617602, '2': 0.006590992310508971}","{'0': 12372, '1': 1173, '2': 38}"
middle_ratio,front025,single_pair,0.5,quota,0.6863378958248205,"{'0': 0.8078845716882527, '1': 0.7294061302681992, '2': 0.5217229855180097}","{'0': 8802, '1': 2088, '2': 2693}"
middle_ratio,front025,single_pair,5.0,raw,0.49818535449705464,"{'0': 0.8265571138499316, '1': 0.6636001226617602, '2': 0.004398826979472141}","{'0': 12375, '1': 1173, '2': 35}"
middle_ratio,front025,single_pair,5.0,quota,0.6856913043197054,"{'0': 0.8074301295160191, '1': 0.7294061302681992, '2': 0.5202376531748979}","{'0': 8802, '1': 2088, '2': 2693}"
middle_ratio,front05,single,0.5,raw,0.2621398257761894,"{'0': 0.7864194773285682, '1': 0.0, '2': 0.0}","{'0': 13583, '1': 0, '2': 0}"
middle_ratio,front05,single,0.5,quota,0.6802839851352677,"{'0': 0.8126562144967053, '1': 0.6901340996168582, '2': 0.5380616412922391}","{'0': 8802, '1': 2088, '2': 2693}"
middle_ratio,front05,single,5.0,raw,0.2621398257761894,"{'0': 0.7864194773285682, '1': 0.0, '2': 0.0}","{'0': 13583, '1': 0, '2': 0}"
middle_ratio,front05,single,5.0,quota,0.6802839851352677,"{'0': 0.8126562144967053, '1': 0.6901340996168582, '2': 0.5380616412922391}","{'0': 8802, '1': 2088, '2': 2693}"
middle_ratio,front05,pair,0.5,raw,0.40052854761156187,"{'0': 0.8055161039080039, '1': 0.3960695389266818, '2': 0.0}","{'0': 13025, '1': 558, '2': 0}"
middle_ratio,front05,pair,0.5,quota,0.6999524616898315,"{'0': 0.8156100886162236, '1': 0.7346743295019157, '2': 0.5495729669513554}","{'0': 8802, '1': 2088, '2': 2693}"
middle_ratio,front05,pair,5.0,raw,0.40052854761156187,"{'0': 0.8055161039080039, '1': 0.3960695389266818, '2': 0.0}","{'0': 13025, '1': 558, '2': 0}"
middle_ratio,front05,pair,5.0,quota,0.7010839968237829,"{'0': 0.8164053624176324, '1': 0.7346743295019157, '2': 0.5521722985518009}","{'0': 8802, '1': 2088, '2': 2693}"
middle_ratio,front05,single_pair,0.5,raw,0.42874209637584126,"{'0': 0.8105735015481307, '1': 0.4756527875793931, '2': 0.0}","{'0': 12837, '1': 746, '2': 0}"
middle_ratio,front05,single_pair,0.5,quota,0.6987755478745283,"{'0': 0.8144739831856397, '1': 0.73227969348659, '2': 0.5495729669513554}","{'0': 8802, '1': 2088, '2': 2693}"
middle_ratio,front05,single_pair,5.0,raw,0.42874209637584126,"{'0': 0.8105735015481307, '1': 0.4756527875793931, '2': 0.0}","{'0': 12837, '1': 746, '2': 0}"
middle_ratio,front05,single_pair,5.0,quota,0.6994241448549006,"{'0': 0.8150420359009316, '1': 0.7318007662835249, '2': 0.5514296323802451}","{'0': 8802, '1': 2088, '2': 2693}"
