ensemble,members,alpha_exact,weight_0,weight_1,weight_2,macro_f1,weighted_f1,pred_count_0,pred_count_1,pred_count_2
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.6,1.0,1.2,1.2,0.7545761239537985,0.7704555153396986,24911,12762,10392
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.6,1.0,1.15,1.25,0.7545757371335391,0.7701265818153299,24752,12691,10622
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.6,1.0,0.85,1.2,0.754570018405237,0.7704491331328401,25059,12484,10522
tree_core,"lgbm,catboost,xgb,extra_trees",0.6,1.0,0.9,1.15,0.7545694199488296,0.7703521159896444,24997,12559,10509
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.4,1.0,0.75,1.1,0.7545642650779248,0.7706156740615051,25182,12413,10470
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.6,1.0,1.2,1.25,0.754562977140496,0.7701278356600139,24746,12723,10596
tree_core,"lgbm,catboost,xgb,extra_trees",0.5,1.0,1.2,1.15,0.7545616779091047,0.7700265741775266,24695,12768,10602
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.5,1.0,1.15,1.1,0.7545606407409915,0.7708327133437235,25215,12747,10103
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.5,1.0,1.0,1.2,0.7545552684168033,0.7700748396156465,24763,12621,10681
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.5,1.0,1.05,1.2,0.7545547474970583,0.7700955053610764,24749,12642,10674
tree_plus_hist,"lgbm,catboost,xgb,extra_trees,hist_gbdt",0.4,1.0,0.9,1.1,0.7545547369790481,0.7705752934864687,25105,12541,10419
tree_core,"lgbm,catboost,xgb,extra_trees",0.6,1.0,0.85,1.15,0.7545540748690253,0.7703547621181634,25024,12514,10527
tree_core,"lgbm,catboost,xgb,extra_trees",0.7,1.0,1.1,1.25,0.7545502233803606,0.7700564194495185,24750,12688,10627
tree_core,"lgbm,catboost,xgb,extra_trees",0.3,1.0,0.95,0.95,0.7545457195348937,0.7708773355047726,25262,12649,10154
