split,model,variant,weight_mode,alpha,active_rows,macro_f1,per_class_f1,pred_counts
ratio_prefix,nb_full,raw,front5000,0.5,15000,0.744183497229567,"{'0': 0.8482481462613913, '1': 0.8616998950682057, '2': 0.5226024503591044}","{'0': 8865, '1': 2677, '2': 2041}"
ratio_prefix,nb_full,quota,front5000,0.5,15000,0.7062756090389173,"{'0': 0.8451488298114065, '1': 0.7983716475095786, '2': 0.4753063497957668}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_full,raw,front5000,5.0,15000,0.744183497229567,"{'0': 0.8482481462613913, '1': 0.8616998950682057, '2': 0.5226024503591044}","{'0': 8865, '1': 2677, '2': 2041}"
ratio_prefix,nb_full,quota,front5000,5.0,15000,0.7062756090389173,"{'0': 0.8451488298114065, '1': 0.7983716475095786, '2': 0.4753063497957668}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_full_single,raw,front5000,0.5,15000,0.7426210100554003,"{'0': 0.8446773366748306, '1': 0.86, '2': 0.5231856934913703}","{'0': 8755, '1': 2712, '2': 2116}"
ratio_prefix,nb_full_single,quota,front5000,0.5,15000,0.7082153835542626,"{'0': 0.8465121563281073, '1': 0.7983716475095786, '2': 0.4797623468251021}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_full_single,raw,front5000,5.0,15000,0.7426210100554003,"{'0': 0.8446773366748306, '1': 0.86, '2': 0.5231856934913703}","{'0': 8755, '1': 2712, '2': 2116}"
ratio_prefix,nb_full_single,quota,front5000,5.0,15000,0.7082153835542626,"{'0': 0.8465121563281073, '1': 0.7983716475095786, '2': 0.4797623468251021}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,exact_posterior,raw,front9000,0.05,26986,0.7215510769424914,"{'0': 0.7908995102597484, '1': 0.8529170090386196, '2': 0.5208367115291065}","{'0': 7329, '1': 2780, '2': 3474}"
ratio_prefix,exact_posterior,quota,front9000,0.05,26986,0.769768518044517,"{'0': 0.8512837991365598, '1': 0.9181034482758621, '2': 0.5399183067211288}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,exact_posterior,raw,front9000,0.5,26986,0.7215510769424914,"{'0': 0.7908995102597484, '1': 0.8529170090386196, '2': 0.5208367115291065}","{'0': 7329, '1': 2780, '2': 3474}"
ratio_prefix,exact_posterior,quota,front9000,0.5,26986,0.7687986307868443,"{'0': 0.8506021358782095, '1': 0.9181034482758621, '2': 0.5376903082064612}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,exact_posterior,raw,front9000,2.0,26986,0.7215510769424914,"{'0': 0.7908995102597484, '1': 0.8529170090386196, '2': 0.5208367115291065}","{'0': 7329, '1': 2780, '2': 3474}"
ratio_prefix,exact_posterior,quota,front9000,2.0,26986,0.7681690158122284,"{'0': 0.8485571461031584, '1': 0.9171455938697318, '2': 0.538804307463795}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,exact_posterior,raw,front9000,10.0,26986,0.7302803229702386,"{'0': 0.8223398001175779, '1': 0.8585649108253837, '2': 0.509936257967754}","{'0': 8208, '1': 2734, '2': 2641}"
ratio_prefix,exact_posterior,quota,front9000,10.0,26986,0.7314226246680448,"{'0': 0.8278800272665303, '1': 0.860632183908046, '2': 0.5057556628295581}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_single,raw,front9000,0.5,26986,0.2621398257761894,"{'0': 0.7864194773285682, '1': 0.0, '2': 0.0}","{'0': 13583, '1': 0, '2': 0}"
ratio_prefix,nb_single,quota,front9000,0.5,26986,0.622397630182732,"{'0': 0.7685753237900477, '1': 0.678639846743295, '2': 0.41997772001485334}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_single,raw,front9000,5.0,26986,0.2621398257761894,"{'0': 0.7864194773285682, '1': 0.0, '2': 0.0}","{'0': 13583, '1': 0, '2': 0}"
ratio_prefix,nb_single,quota,front9000,5.0,26986,0.622397630182732,"{'0': 0.7685753237900477, '1': 0.678639846743295, '2': 0.41997772001485334}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_full,raw,front9000,0.5,26986,0.7387227315144497,"{'0': 0.8526431718061674, '1': 0.8672645739910314, '2': 0.49626044874615044}","{'0': 9358, '1': 2372, '2': 1853}"
ratio_prefix,nb_full,quota,front9000,0.5,26986,0.727762183901422,"{'0': 0.8451488298114065, '1': 0.8175287356321839, '2': 0.5206089862606759}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_full,raw,front9000,5.0,26986,0.7387227315144497,"{'0': 0.8526431718061674, '1': 0.8672645739910314, '2': 0.49626044874615044}","{'0': 9358, '1': 2372, '2': 1853}"
ratio_prefix,nb_full,quota,front9000,5.0,26986,0.727762183901422,"{'0': 0.8451488298114065, '1': 0.8175287356321839, '2': 0.5206089862606759}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,nb_full_single,raw,front9000,0.5,26986,0.745852584436494,"{'0': 0.850828729281768, '1': 0.8654658661329775, '2': 0.5212631578947369}","{'0': 9117, '1': 2409, '2': 2057}"
ratio_prefix,nb_full_single,quota,front9000,0.5,26986,0.723940420028406,"{'0': 0.8445807770961146, '1': 0.8103448275862069, '2': 0.5168956554028964}","{'0': 8802, '1': 2088, '2': 2693}"
