split,alpha_meta,w2,variant,macro_f1,per_class_f1,counts
ratio_prefix,0.2,1.08,raw,0.7582267182141016,"{'0': 0.8601928374655647, '1': 0.842169408897014, '2': 0.5723179082797261}","{'0': 8622, '1': 2835, '2': 2126}"
ratio_prefix,0.9,0.9,raw,0.7570645563782952,"{'0': 0.8632957762113559, '1': 0.8540379288301726, '2': 0.5538599640933572}","{'0': 9215, '1': 2605, '2': 1763}"
ratio_prefix,0.2,0.9,raw,0.7570139599156418,"{'0': 0.8640793297999658, '1': 0.8394411824255922, '2': 0.5675213675213675}","{'0': 8745, '1': 2851, '2': 1987}"
ratio_prefix,0.1,1.16,raw,0.755082155922684,"{'0': 0.8541147854288528, '1': 0.8416565164433617, '2': 0.5694751658958376}","{'0': 8465, '1': 2838, '2': 2280}"
ratio_prefix,0.1,1.0,raw,0.7533329718621792,"{'0': 0.8595240832279573, '1': 0.8348771647200967, '2': 0.565597667638484}","{'0': 8596, '1': 2878, '2': 2109}"
ratio_prefix,0.1,1.25,raw,0.753002662264644,"{'0': 0.8500816041035206, '1': 0.8416565164433617, '2': 0.5672698662470496}","{'0': 8354, '1': 2838, '2': 2391}"
ratio_prefix,0.1,1.08,raw,0.7518961075077243,"{'0': 0.8564833516071325, '1': 0.8367305751765893, '2': 0.562474395739451}","{'0': 8527, '1': 2867, '2': 2189}"
ratio_prefix,0.1,0.9,raw,0.7514436246420324,"{'0': 0.8623453962437013, '1': 0.829365873174635, '2': 0.562619604507761}","{'0': 8662, '1': 2911, '2': 2010}"
ratio_prefix,1.0,0.9,raw,0.7508227463672682,"{'0': 0.8630627651953491, '1': 0.8540379288301726, '2': 0.5353675450762829}","{'0': 9345, '1': 2605, '2': 1633}"
ratio_prefix,0.1,1.0,quota,0.7496475138719559,"{'0': 0.8668484435355601, '1': 0.8280651340996169, '2': 0.5540289639806907}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,0.0,1.16,raw,0.7487033732791111,"{'0': 0.8500379429105132, '1': 0.8332998996990973, '2': 0.5627722772277227}","{'0': 8329, '1': 2897, '2': 2357}"
ratio_prefix,0.1,1.08,quota,0.748270522653236,"{'0': 0.863099295614633, '1': 0.8247126436781609, '2': 0.5569996286669142}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,0.1,0.9,quota,0.7475460914803317,"{'0': 0.865371506475801, '1': 0.8280651340996169, '2': 0.5492016338655774}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,0.0,1.25,raw,0.7473843758333568,"{'0': 0.8474913646741994, '1': 0.8349748743718592, '2': 0.5596868884540117}","{'0': 8279, '1': 2887, '2': 2417}"
ratio_prefix,0.0,1.08,raw,0.7473167551903245,"{'0': 0.8508879184861717, '1': 0.8309661932386477, '2': 0.5600961538461539}","{'0': 8373, '1': 2911, '2': 2299}"
ratio_prefix,0.2,1.25,quota,0.7463646073683959,"{'0': 0.8616223585548739, '1': 0.8256704980842912, '2': 0.551800965466023}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,0.0,0.9,quota,0.7460761038172427,"{'0': 0.8648034537605089, '1': 0.8208812260536399, '2': 0.5525436316375789}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,0.4,1.16,quota,0.7458320459765421,"{'0': 0.8648034537605089, '1': 0.8242337164750958, '2': 0.5484589676940216}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,0.0,1.16,quota,0.7456134078347644,"{'0': 0.8535560099977277, '1': 0.8184865900383141, '2': 0.564797623468251}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,0.0,0.9,raw,0.7452236272487754,"{'0': 0.8569780853517878, '1': 0.8240428486411426, '2': 0.554649947753396}","{'0': 8538, '1': 2953, '2': 2092}"
ratio_prefix,0.1,1.25,quota,0.7451225875560724,"{'0': 0.8519654623949102, '1': 0.8223180076628352, '2': 0.5610842926104715}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,0.0,1.08,quota,0.7451127001981587,"{'0': 0.856509884117246, '1': 0.8184865900383141, '2': 0.5603416264389157}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,0.4,1.25,quota,0.7447790496324137,"{'0': 0.8627584639854579, '1': 0.8242337164750958, '2': 0.5473449684366877}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,0.0,1.0,raw,0.7446782800500468,"{'0': 0.8515829218704618, '1': 0.8278198485452372, '2': 0.5546320697344416}","{'0': 8413, '1': 2930, '2': 2240}"
ratio_prefix,0.4,0.9,quota,0.744538862966312,"{'0': 0.8638945694160418, '1': 0.8242337164750958, '2': 0.545488303007798}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,0.4,1.0,quota,0.744538862966312,"{'0': 0.8638945694160418, '1': 0.8242337164750958, '2': 0.545488303007798}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,0.4,1.08,quota,0.744538862966312,"{'0': 0.8638945694160418, '1': 0.8242337164750958, '2': 0.545488303007798}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,0.30000000000000004,1.0,quota,0.7442155672137543,"{'0': 0.863667348329925, '1': 0.8242337164750958, '2': 0.5447456368362421}","{'0': 8802, '1': 2088, '2': 2693}"
ratio_prefix,0.0,1.25,quota,0.744212211137044,"{'0': 0.8493524199045671, '1': 0.8184865900383141, '2': 0.564797623468251}","{'0': 8802, '1': 2088, '2': 2693}"
